id,name,lat,lon
25020,Arbouans,47.485,6.813
25031,Audincourt,47.486,6.835
25032,Autechaux,47.378,6.384
25039,Avoudrey,47.138,6.434
25056,Besançon,47.251,6.021
25097,Brognard,47.525,6.852
25147,Chemaudin et Vaux,47.234,5.899
25212,École-Valentin,47.277,5.994
25222,Étalans,47.155,6.27
25282,Goux-les-Usiers,46.98,6.337
25318,Jougne,46.76,6.389
2532,Moÿ-de-l'Aisne,49.751,3.366
25388,Montbéliard,47.5,6.802
25411,Morteau,47.062,6.606
25424,Les Premiers Sapins,47.094,6.339
25432,Orchamps-Vennes,47.131,6.526
25462,Pontarlier,46.906,6.346
25465,Pont-les-Moulins,47.325,6.363
25527,Saint-Vit,47.183,5.809
25547,Sochaux,47.514,6.834
25558,Tarcenay-Foucherans,47.157,6.136
25578,Valdahon,47.147,6.345
2575,Origny-Sainte-Benoite,49.84,3.487
26002,Albon,45.25,4.882
26004,Alixan,44.988,4.975
26010,Anneyron,45.251,4.922
26058,Bourg-lès-Valence,44.941,4.89
26064,Chabeuil,44.899,5.019
26071,Chanos-Curson,45.054,4.927
26084,Châteauneuf-sur-Isère,45.012,4.95
26106,La Coucourde,44.645,4.78
26108,Crest,44.729,5.017
26162,Lens-Lestang,45.3,5.043
26166,Loriol-sur-Drôme,44.754,4.817
26169,Malataverne,44.486,4.751
26177,Marsaz,45.105,4.949
26198,Montélimar,44.53,4.736
26250,Pont-de-l'Isère,45.001,4.872
26252,Portes-lès-Valence,44.893,4.865
26281,Romans-sur-Isère,45.058,5.046
26295,Saint-Barthélemy-de-Vals,45.172,4.863
26313,Saint-Marcel-lès-Valence,44.975,4.962
26324,Saint-Paul-Trois-Châteaux,44.351,4.764
26325,Saint-Rambert-d'Albon,45.284,4.818
26333,Saint-Vallier,45.178,4.815
26337,Saulce-sur-Rhône,44.703,4.799
26347,Tain-l'Hermitage,45.068,4.844
26353,Les Tourrettes,44.667,4.794
26362,Valence,44.951,4.929
2691,Saint-Quentin,49.842,3.283
27003,Acquigny,49.177,1.175
27008,Alizay,49.314,1.165
27011,Amfreville-Saint-Amand,49.218,0.927
27015,Andé,49.236,1.247
27016,Les Andelys,49.248,1.433
27022,Le Val d'Hazey,49.166,1.343
27025,Autheuil-Authouillet,49.095,1.279
27032,Chambois,48.882,1.142
27034,Bacqueville,49.312,1.37
27039,Barneville-sur-Seine,49.387,0.855
27052,Le Bec-Hellouin,49.235,0.716
27056,Bernay,49.084,0.577
27062,Les Monts du Roumois,49.277,0.827
27065,Beuzeville,49.35,0.37
27077,Boissey-le-Châtel,49.271,0.78
27090,Bosroumois,49.291,0.94
27091,Bosgouet,49.359,0.862
27100,Boulleville,49.36,0.383
27102,Bouquetot,49.356,0.78
27103,Bourg-Achard,49.362,0.815
27104,Bourg-Beaudouin,49.385,1.304
27105,Grand Bourgtheroulde,49.302,0.866
27107,Bourneville-Sainte-Croix,49.377,0.62
27116,Brionne,49.194,0.72
27133,Caumont,49.353,0.91
27134,Cauverville-en-Roumois,49.355,0.647
27151,Charleval,49.376,1.373
27188,Criquebeuf-sur-Seine,49.297,1.109
27193,Croth,48.845,1.375
27196,Les Damps,49.3,1.172
27203,Douains,49.06,1.421
27213,Vexin-sur-Epte,49.185,1.547
27214,Écouis,49.31,1.431
2722,Soissons,49.37,3.338
27226,Étrépagny,49.305,1.61
27227,Étréville,49.373,0.651
27229,Évreux,49.017,1.185
27238,Ferrières-Haut-Clocher,49.021,0.98
27246,Fleury-sur-Andelle,49.363,1.355
27258,Fort-Moville,49.329,0.394
27261,Fouqueville,49.22,0.957
27275,Gaillon,49.162,1.346
27284,Gisors,49.279,1.774
27285,Giverny,49.086,1.51
27299,Gravigny,49.047,1.162
27301,Grossœuvre,48.942,1.187
27302,Le Bosc du Theil,49.212,0.884
27306,Guichainville,49.004,1.174
27313,La Harengère,49.234,0.99
27316,Hauville,49.394,0.765
27317,La Haye-Aubrée,49.389,0.693
27322,La Haye-Malherbe,49.247,1.052
27329,Hennezis,49.195,1.463
27332,Heudebouville,49.188,1.243
27340,Honguemare-Guenouville,49.364,0.82
27348,Igoville,49.318,1.135
27351,Incarville,49.238,1.176
27355,Ivry-la-Bataille,48.882,1.458
27363,Le Landin,49.404,0.796
27365,Léry,49.282,1.204
27375,Louviers,49.215,1.171
2738,Tergnier,49.658,3.279
27386,Le Manoir,49.313,1.205
27394,Martot,49.288,1.067
27398,Menneval,49.103,0.607
27410,Miserey,49.02,1.267
27412,Terres de Bord,49.22,1.093
27428,Le Neubourg,49.151,0.905
27432,La Neuville-du-Bosc,49.184,0.812
27439,Normanville,49.059,1.168
27448,Pacy-sur-Eure,49.02,1.39
27453,Perriers-sur-Andelle,49.415,1.376
27456,Pinterville,49.199,1.185
27458,Pîtres,49.32,1.219
27467,Pont-Audemer,49.355,0.516
27469,Pont-de-l'Arche,49.302,1.158
27470,Pont-Saint-Pierre,49.336,1.275
27474,Poses,49.305,1.239
27487,Radepont,49.359,1.337
27488,Renneville,49.403,1.32
27493,Romilly-sur-Andelle,49.329,1.249
27498,Rouge-Perriers,49.144,0.834
27507,Saint-André-de-l'Eure,48.903,1.281
27517,Saint-Aubin-sur-Gaillon,49.141,1.313
27518,Saint-Aubin-sur-Quillebeuf,49.45,0.548
27528,Le Vaudreuil,49.262,1.197
27534,Saint-Didier-des-Bois,49.239,1.036
27535,Saint-Élier,48.982,0.96
27536,Saint-Éloi-de-Fourques,49.24,0.793
27550,Saint-Grégoire-du-Vièvre,49.243,0.628
27554,La Chapelle-Longueville,49.107,1.44
27562,Saint-Marcel,49.098,1.458
27572,Saint-Meslin-du-Bosc,49.214,0.884
27580,Saint-Ouen-de-Thouberville,49.357,0.883
27582,Saint-Ouen-du-Tilleul,49.292,0.959
27587,Saint-Philbert-sur-Risle,49.3,0.647
27598,Saint-Pierre-du-Vauvray,49.23,1.227
27616,La Saussaye,49.255,0.973
27622,Serquigny,49.103,0.696
27631,Thierville,49.268,0.72
27632,Le Thil,49.313,1.552
27638,Le Thuit de l'Oison,49.276,0.966
27644,Tilly,49.143,1.538
27649,Touffreville,49.349,1.439
27654,Tourville-la-Campagne,49.238,0.904
27664,Le Tronquay,49.433,1.48
27670,Vandrimare,49.382,1.36
27679,Verneuil d'Avre et d'Iton,48.742,0.929
27681,Vernon,49.093,1.477
27684,Le Vieil-Évreux,49.015,1.192
27701,Val-de-Reuil,49.278,1.205
2775,Vendeuil,49.719,3.345
2781,Verdilly,49.078,3.398
2795,Vic-sur-Aisne,49.403,3.111
28015,Auneau-Bleury-Saint-Symphorien,48.464,1.776
28024,Barjouville,48.409,1.463
28036,Berchères-sur-Vesgre,48.84,1.541
28056,Boutigny-Prouais,48.729,1.568
28059,Brezolles,48.69,1.072
28062,Broué,48.763,1.521
28085,Chartres,48.448,1.48
28089,Châteauneuf-en-Thymerais,48.581,1.241
28096,La Chaussée-d'Ivry,48.882,1.478
2810,Villers-Cotterêts,49.254,3.09
28116,Courville-sur-Eure,48.448,1.24
28134,Dreux,48.743,1.389
28140,Épernon,48.608,1.671
28166,Friaize,48.431,1.134
28178,Germainville,48.741,1.48
28185,Goussainville,48.772,1.558
28188,Le Gué-de-Longroi,48.5,1.716
28191,Hanches,48.603,1.639
28218,Lucé,48.438,1.462
28229,Mainvilliers,48.449,1.464
28292,Ouerre,48.716,1.487
28352,Saint-Martin-de-Nigelles,48.608,1.637
28371,Saussay,48.858,1.412
28404,Vernouillet,48.716,1.365
28422,Les Villages Vovéens,48.274,1.63
29019,Brest,48.391,-4.504
29020,Briec,48.101,-4.001
29024,Carhaix-Plouguer,48.27,-3.562
29026,Châteaulin,48.215,-4.05
29027,Châteauneuf-du-Faou,48.2,-3.87
29031,Clohars-Carnoët,47.777,-3.554
29039,Concarneau,47.895,-3.894
29043,Daoulas,48.366,-4.257
29045,Dirinon,48.39,-4.266
29046,Douarnenez,48.08,-4.327
29051,Ergué-Gabéric,47.999,-4.054
29053,Le Faou,48.294,-4.177
29061,Gouesnou,48.43,-4.467
29069,Guilers,48.425,-4.56
29075,Guipavas,48.438,-4.409
29103,Landerneau,48.445,-4.268
29105,Landivisiau,48.51,-4.072
29117,Lannilis,48.571,-4.523
29124,Lesneven,48.572,-4.322
29130,Locmaria-Plouzané,48.371,-4.65
29146,Melgven,47.889,-3.8
29151,Morlaix,48.574,-3.832
29161,Pleuven,47.901,-4.027
29178,Ploudalmézeau,48.544,-4.67
29179,Ploudaniel,48.564,-4.312
29181,Plouédern,48.484,-4.245
29189,Plougastel-Daoulas,48.382,-4.377
29195,Plouguerneau,48.616,-4.514
29212,Plouzané,48.37,-4.585
29220,Pont-l'Abbé,47.868,-4.219
29232,Quimper,47.99,-4.072
29233,Quimperlé,47.869,-3.552
29235,Le Relecq-Kerhuon,48.405,-4.416
29254,Saint-Martin-des-Champs,48.577,-3.855
29259,Saint-Pol-de-Léon,48.681,-4.002
29266,Saint-Thégonnec Loc-Eguiner,48.527,-3.94
29268,Saint-Thonan,48.479,-4.336
2B120,Furiani,42.655,9.441
2B207,Penta-di-Casinca,42.446,9.517
30003,Aigues-Mortes,43.574,4.18
30004,Aigues-Vives,43.739,4.18
30006,Aimargues,43.696,4.201
30007,Alès,44.126,4.107
30011,Les Angles,43.959,4.744
30012,Aramon,43.891,4.683
30020,Aubord,43.753,4.317
30023,Aujargues,43.789,4.122
30028,Bagnols-sur-Cèze,44.161,4.61
30032,Beaucaire,43.807,4.635
30047,Bouillargues,43.799,4.427
30053,Brignon,43.994,4.22
30062,Calvisson,43.784,4.194
30069,Carnas,43.829,3.986
30082,Clarensac,43.818,4.227
30083,Codognan,43.729,4.226
30084,Codolet,44.135,4.708
30085,Collias,43.956,4.499
30112,Fons,43.907,4.194
30123,Gallargues-le-Montueux,43.722,4.166
30127,Gaujac,44.079,4.582
30133,Le Grau-du-Roi,43.529,4.142
30136,Junas,43.768,4.121
30138,Langlade,43.808,4.245
30141,Laudun-l'Ardoise,44.105,4.657
30146,Lédignan,43.985,4.11
30156,Marguerittes,43.856,4.423
30169,Milhaud,43.803,4.32
30180,Montignargues,43.931,4.2
30189,Nîmes,43.825,4.353
30202,Pont-Saint-Esprit,44.254,4.649
30209,Pujaut,44.002,4.768
30210,Quissac,43.917,4
30217,Rochefort-du-Gard,43.969,4.741
30221,Roquemaure,44.045,4.781
3023,Bellerive-sur-Allier,46.125,3.401
30258,Saint-Gilles,43.761,4.423
30263,Saint-Hippolyte-du-Fort,43.96,3.858
30265,Saint-Jean-de-Crieulon,43.968,3.993
30280,Saint-Laurent-le-Minier,43.928,3.658
30311,Sauve,43.939,3.953
30312,Sauveterre,44.027,4.791
30321,Sommières,43.782,4.086
30324,Souvignargues,43.815,4.122
30326,Tavel,44.009,4.707
30333,Uchaud,43.758,4.268
30335,Vabres,44.032,3.888
30341,Vauvert,43.696,4.276
30344,Vergèze,43.729,4.245
30346,Vers-Pont-du-Gard,43.954,4.505
30351,Villeneuve-lès-Avignon,43.956,4.792
30352,Villevieille,43.802,4.106
30355,Saint-Paul-les-Fonts,44.083,4.612
3036,Bourbon-l'Archambault,46.577,3.079
31003,Aigrefeuille,43.571,1.599
31022,Aucamville,43.657,1.431
31032,Aussonne,43.682,1.319
31033,Auterive,43.352,1.478
31044,Balma,43.632,1.491
31048,Baziège,43.45,1.632
31056,Beauzelle,43.658,1.369
31069,Blagnac,43.628,1.396
31091,Bruguières,43.725,1.41
31094,Buzet-sur-Tarn,43.778,1.625
31104,Capens,43.337,1.26
31106,Caraman,43.552,1.711
31107,Carbonne,43.318,1.218
31113,Castanet-Tolosan,43.522,1.494
31116,Castelginest,43.697,1.431
31118,Castelnau-d'Estrétefonds,43.784,1.35
31135,Cazères,43.212,1.083
