origin,dest,count
17161,17291,3
17161,17300,10
17161,17407,11
17166,17028,5
17166,17274,4
17166,17300,2
17168,17028,1
17168,17094,16
17168,17200,1
17168,17299,1
17168,17300,1
17168,17308,1
17168,17414,1
17186,17274,1
17186,17291,4
17186,17300,17
17190,17142,1
17190,17200,11
17190,17291,1
17190,17300,9
17193,17009,1
17193,17010,1
17193,17136,1
17193,17161,1
17193,17194,3
17193,17299,1
17193,17300,4
17194,17003,1
17194,17010,17
17194,17028,2
17194,17094,1
17194,17161,3
17194,17200,6
17194,17274,3
17194,17291,2
17194,17299,1
17194,17300,9
17194,17420,4
17194,17483,2
17194,85194,1
17197,16028,4
17197,17283,11
17197,17415,7
17200,17008,6
17200,17010,2
17200,17028,1
17200,17041,3
17200,17127,1
17200,17142,1
17200,17158,1
17200,17185,2
17200,17190,6
17200,17194,2
17200,17218,1
17200,17222,2
17200,17245,6
17200,17264,1
17200,17274,7
17200,17291,1
17200,17299,14
17200,17300,13
17200,17308,4
17200,17340,1
17200,17349,6
17200,17353,4
17200,17360,1
17200,17373,2
17200,17375,4
17200,17376,1
17200,17407,4
17200,17409,7
17200,17415,3
17200,17420,4
17200,17434,4
17200,17443,7
17200,17463,7
17200,17484,14
17200,33550,1
17200,79034,1
17200,85049,15
17200,85160,1
17203,17094,2
17203,17274,7
17203,17299,4
17207,17142,2
17207,17300,18
17207,17407,2
17218,17200,1
17218,17264,1
17218,17274,1
17218,17291,15
17218,17300,78
17218,17407,4
17218,85304,1
17219,17028,2
17219,17284,1
17219,17291,1
17219,17299,2
17219,17300,17
17219,17385,4
17219,17483,1
17222,17041,4
17222,17274,21
17222,17300,7
17222,17449,1
17245,17200,7
17255,17299,7
17264,17008,2
17264,17021,1
17264,17028,2
17264,17142,1
17264,17200,2
17264,17218,1
17264,17274,2
17264,17291,5
17264,17300,3
17264,17376,1
17264,17472,1
17264,85049,1
17264,85149,5
17267,17094,1
17267,17161,1
17267,17274,3
17267,17300,20
17274,17008,8
17274,17009,3
17274,17010,1
17274,17028,4
17274,17063,9
17274,17094,2
17274,17127,11
17274,17142,9
17274,17146,18
17274,17158,1
17274,17161,10
17274,17166,1
17274,17194,2
17274,17203,5
17274,17222,18
17274,17264,2
17274,17267,4
17274,17274,21
17274,17291,7
17274,17299,72
17274,17300,106
17274,17306,1
17274,17315,6
17274,17322,4
17274,17349,5
17274,17353,1
17274,17369,6
17274,17373,1
17274,17376,14
17274,17396,7
17274,17407,3
17274,17434,4
17274,17443,1
17274,17449,3
17274,17463,19
17274,17472,1
17274,79034,1
17274,79191,1
17283,16102,1
17283,17197,16
17283,17415,5
17284,17028,11
17284,17299,3
17291,17003,6
17291,17008,6
17291,17009,3
17291,17010,1
17291,17028,8
17291,17041,1
17291,17059,1
17291,17091,1
17291,17127,7
17291,17136,1
17291,17142,19
17291,17153,1
17291,17158,3
17291,17168,1
17291,17186,5
17291,17194,2
17291,17200,2
17291,17218,11
17291,17222,4
17291,17264,3
17291,17274,5
17291,17291,1
17291,17299,11
17291,17300,53
17291,17306,1
17291,17338,4
17291,17349,3
17291,17353,2
17291,17369,1
17291,17373,2
17291,17382,7
17291,17396,7
17291,17407,1
17291,17414,13
17291,17415,1
17291,17443,2
17291,17447,1
17291,17463,8
17291,17466,1
17291,17472,1
17291,79034,23
17291,79081,9
17291,79130,10
17291,79191,24
17291,85156,1
17297,17028,1
17297,17300,3
17297,17407,5
17297,17443,1
17299,16102,1
17299,17010,5
17299,17028,62
17299,17057,4
17299,17065,10
17299,17094,7
17299,17146,4
17299,17168,2
17299,17194,1
17299,17200,11
17299,17203,2
17299,17219,2
17299,17253,7
17299,17274,83
17299,17284,1
17299,17291,10
17299,17299,3
17299,17300,143
17299,17308,3
17299,17315,1
17299,17340,5
17299,17347,1
17299,17375,8
17299,17385,3
17299,17413,3
17299,17415,14
17299,17420,1
17299,17434,21
17299,17443,6
17299,17449,2
17299,17453,1
17299,37018,1
17300,17003,22
17300,17008,11
17300,17009,25
17300,17010,55
17300,17019,8
17300,17028,62
17300,17041,35
17300,17051,15
17300,17057,4
17300,17059,17
17300,17063,7
17300,17091,6
17300,17094,15
17300,17109,9
17300,17127,27
17300,17136,2
17300,17142,82
17300,17146,3
17300,17153,11
17300,17158,19
17300,17161,10
17300,17166,1
17300,17185,2
17300,17186,16
17300,17190,8
17300,17194,4
17300,17200,15
17300,17207,11
17300,17218,76
17300,17219,17
17300,17222,8
17300,17228,4
17300,17264,5
17300,17267,17
17300,17274,135
17300,17291,67
17300,17297,5
17300,17299,142
17300,17300,188
17300,17303,2
17300,17306,12
17300,17308,4
17300,17315,4
17300,17322,2
17300,17349,19
17300,17351,7
17300,17353,16
17300,17360,42
17300,17369,5
17300,17373,8
17300,17376,3
17300,17382,12
17300,17385,5
17300,17396,49
17300,17407,43
17300,17414,12
17300,17415,7
17300,17421,1
17300,17434,18
17300,17443,22
17300,17447,7
17300,17449,32
17300,17453,6
17300,17463,11
17300,17466,55
17300,17472,25
17300,17483,10
17300,33063,1
17300,44109,1
17300,44184,1
17300,49063,3
17300,49099,1
17300,49301,1
17300,79034,3
17300,79191,24
17300,85029,1
17300,85082,1
17300,85128,13
17300,85191,1
17300,85216,12
17300,85294,1
17300,85303,6
17300,85304,20
17303,17300,1
17303,17315,13
17303,17414,1
17306,17028,1
17306,17185,3
17306,17219,3
17306,17228,3
17306,17274,1
17306,17299,2
17306,17300,13
17306,18033,1
17308,17142,1
17308,17200,7
17308,17274,1
17308,17299,2
17308,17300,3
17315,17010,2
17315,17274,8
17315,17299,1
17315,17300,6
17315,17303,11
17322,17274,4
17322,17300,2
17338,17291,5
17338,17466,1
17340,17200,1
17340,17299,5
17347,17413,1
17347,17415,11
17349,17028,9
17349,17200,2
17349,17274,9
17349,17291,2
17349,17300,14
17351,17300,8
17353,17028,3
17353,17094,11
17353,17274,1
17353,17291,1
17353,17300,20
17354,17415,14
17360,17274,1
17360,17300,24
17360,17369,2
17369,17200,2
17369,17274,3
17369,17291,5
17369,17300,4
17369,17407,7
17373,17009,1
17373,17010,2
17373,17028,3
17373,17194,2
17373,17200,3
17373,17291,5
17373,17297,1
17373,17300,25
17373,17407,1
17373,17443,1
17373,17447,1
17375,17200,4
17375,17299,9
17376,17218,3
17376,17264,1
17376,17274,13
17376,17291,2
17376,17300,6
17382,17291,8
17382,17300,11
17385,17299,3
17385,17300,3
17396,17142,1
17396,17274,9
17396,17291,5
17396,17300,53
17396,17413,3
17407,17008,1
17407,17010,1
17407,17028,7
17407,17094,4
17407,17127,1
17407,17158,1
17407,17161,10
17407,17194,1
17407,17200,3
17407,17207,2
17407,17218,5
17407,17274,9
17407,17291,2
17407,17297,1
17407,17300,59
17407,17369,15
17407,17466,1
17407,79191,28
17407,79329,1
17409,17200,7
17409,17300,1
17413,17028,1
17413,17051,1
17413,17299,2
17413,17300,1
17413,17443,1
17414,17003,1
17414,17010,1
17414,17094,4
17414,17158,21
17414,17168,1
17414,17200,7
17414,17274,1
17414,17291,18
17414,17300,15
17414,17303,3
17414,17306,1
17414,17414,1
17414,17449,2
17415,16102,26
17415,17094,2
17415,17197,3
17415,17200,4
17415,17219,1
17415,17283,4
17415,17299,15
17415,17300,6
17415,17347,11
17415,17421,5
17415,17443,4
17415,79191,1
17415,92020,1
17420,17194,4
17420,17200,6
17420,17299,1
17420,17443,1
17421,17300,1
17421,17415,9
17434,17200,3
17434,17274,5
17434,17299,20
17434,17300,23
17443,17003,1
17443,17010,1
17443,17028,11
17443,17065,1
17443,17146,1
17443,17158,1
17443,17253,1
17443,17274,1
17443,17284,2
17443,17291,1
17443,17297,1
17443,17299,8
17443,17300,28
17443,17373,1
17443,17413,4
17443,17415,6
17443,17420,1
17443,17447,1
17443,79081,7
17447,17010,1
17447,17094,6
17447,17291,3
17447,17299,3
17447,17300,6
17447,17443,1
17447,17483,1
17449,16102,1
17449,17003,22
17449,17094,3
17449,17222,1
17449,17274,2
17449,17291,2
17449,17299,1
17449,17300,35
17463,17028,2
17463,17200,7
17463,17274,20
17463,17284,1
17463,17291,7
17463,17300,14
17466,17008,1
17466,17010,6
17466,17185,1
17466,17194,1
17466,17203,1
17466,17300,81
17466,17338,3
17466,17373,1
17466,79191,1
17466,85082,2
17466,85304,1
17472,17153,1
17472,17200,4
17472,17274,1
17472,17291,1
17472,17300,31
17472,17414,9
17480,17136,1
17480,17300,8
17483,17028,2
17483,17136,1
17483,17194,2
17483,17200,1
17483,17219,1
17483,17299,3
17483,17300,12
17484,17028,1
17484,17200,9
17484,17291,4
18033,18160,7
18033,34003,1
18033,36088,41
19031,19272,14
19031,19276,9
19031,87085,5
19031,87119,15
19123,19272,18
19272,19031,16
19272,19073,4
19272,19123,15
19274,19272,1
19274,87085,9
19276,19031,8
21054,21231,4
21054,21461,7
21054,21515,1
21054,21540,6
21054,39198,1
21054,83061,1
21054,84007,2
21154,21425,8
21171,21166,10
21171,21231,11
21171,71118,1
21191,21231,6
21210,21231,1
21210,21390,13
21210,21485,9
21231,12202,1
21231,21038,11
21231,21054,4
21231,21166,3
21231,21171,7
21231,21210,1
21231,21390,8
21231,21501,11
21231,21661,9
21231,39150,3
21231,39198,7
21231,39300,5
21231,52269,1
21231,70279,1
21231,71076,4
21231,71118,5
21231,73008,1
21355,71118,7
21390,21171,2
21390,21210,14
21458,21231,14
21485,21210,9
21501,21231,14
21535,21166,1
21535,21390,4
2157,51454,6
21661,21231,8
2168,2722,1
2168,2810,1
2168,51454,78
2168,62041,1
2168,77111,1
22004,22034,3
22004,22067,16
22004,22070,4
22004,22113,16
22028,22113,13
22034,22004,1
22034,22070,4
22034,22113,8
22034,22187,1
22034,22353,1
22050,35070,7
22050,35238,9
22050,35278,1
22050,35288,16
22050,35356,6
22050,59350,1
22055,22278,9
22070,22004,2
22070,22113,28
22070,22187,8
22070,22254,4
22070,22278,1
22081,22084,17
22081,22278,7
22084,22081,15
22084,22093,1
22084,22389,2
22090,22113,9
22090,22211,4
22090,22343,3
22093,22046,11
22093,22187,2
22093,22251,2
22093,22278,5
22093,22389,1
22093,35023,9
22093,35173,33
22093,35234,2
22093,35238,8
22093,44109,1
22113,22004,2
22113,22028,19
22113,22034,6
22113,22070,27
22113,22090,5
22113,22113,283
22113,22134,5
22113,22152,31
22113,22162,3
22113,22164,21
22113,22168,13
22113,22182,7
22113,22187,32
22113,22194,13
22113,22198,10
22113,22206,15
22113,22207,13
22113,22211,2
22113,22215,1
22113,22223,26
22113,22224,22
22113,22225,12
22113,22226,9
22113,22251,1
22113,22254,20
22113,22264,3
22113,22278,81
22113,22324,5
22113,22338,23
22113,22343,24
22113,22353,7
22113,22362,4
22113,22363,7
22113,22379,6
22113,29019,3
22113,29232,1
22113,56178,1
22118,22187,9
22118,35238,6
22121,22162,8
22121,22187,10
22134,22113,9
22134,22224,1
22134,22254,1
22134,22343,1
22134,35288,1
22135,22225,8
22136,35297,5
22136,56178,4
22147,35297,10
22152,22113,18
22152,22212,1
22152,22254,1
22152,22264,1
22152,22363,7
22164,22113,18
22168,22090,1
22168,22113,20
22168,22338,2
22168,22353,1
22168,22362,3
22168,22363,1
22168,22379,1
2217,2738,9
22172,22050,1
22172,22278,5
22172,35093,4
22182,22106,1
22182,22113,5
22187,22034,1
22187,22050,7
22187,22093,3
22187,22113,27
22187,22118,3
22187,22206,1
22187,22225,6
22187,22353,3
22194,22113,16
22198,22113,17
22198,22168,1
22198,22254,1
22198,22324,4
22198,22338,1
22198,22343,2
22198,22353,4
22198,22362,6
22199,22264,7
22206,22113,10
22206,22187,1
22207,22113,10
22211,22034,1
22211,22113,6
22211,22198,2
22211,22362,1
22212,22152,1
22212,22362,6
22213,22050,2
22213,35288,8
22223,22046,1
22223,22113,35
22223,22353,1
22225,22004,2
22225,22113,9
22225,22135,7
22225,22254,1
22226,22113,9
